	515rcbc257	515rcbc255	515rcbc247	515rcbc263	515rcbc479	515rcbc267	515rcbc454	515rcbc496	515rcbc484	515rcbc264	515rcbc239	515rcbc495	515rcbc243	515rcbc254	515rcbc271	515rcbc464	515rcbc240	515rcbc472	515rcbc259	515rcbc265	515rcbc249	515rcbc256	515rcbc251	515rcbc466	515rcbc470	515rcbc245	515rcbc269	515rcbc457	515rcbc471	515rcbc262	515rcbc478	515rcbc465	515rcbc253	515rcbc242	515rcbc467	515rcbc268	515rcbc261	515rcbc461	515rcbc493	515rcbc252	515rcbc241	515rcbc480	515rcbc482	515rcbc456	515rcbc250	515rcbc266	515rcbc462	515rcbc244	515rcbc248	515rcbc270	515rcbc258	515rcbc483	515rcbc477	515rcbc458
515rcbc239	0.675	0.6737967914438503	0.5958904109589042	0.6875	0.7840531561461794	0.6666666666666666	0.9302325581395349	0.680327868852459	0.708185053380783	0.6685714285714286	0.0	0.6556291390728477	0.4971751412429379	0.671875	0.6583850931677019	0.7931034482758621	0.5899280575539568	0.7207792207792207	0.6289308176100629	0.6781609195402298	0.6043956043956044	0.6853932584269663	0.6666666666666666	0.968503937007874	0.7361111111111112	0.6174496644295302	0.6648648648648648	0.6402439024390244	0.65625	0.6783625730994152	0.6666666666666666	0.738255033557047	0.645	0.42857142857142855	0.64	0.7218934911242604	0.6049382716049383	0.7041420118343196	0.7156398104265402	0.6545454545454545	0.5693430656934306	0.7586206896551724	0.7907692307692308	0.6742857142857143	0.6993006993006993	0.6647058823529411	0.7727272727272727	0.5443786982248521	0.8294573643410853	0.6702702702702703	0.6766467065868264	0.8076923076923077	0.6903225806451613	0.984251968503937
515rcbc495	0.7016129032258065	0.7531645569620253	0.6491228070175439	0.723404255319149	0.8545454545454545	0.6879432624113475	0.9259259259259259	0.6584158415841584	0.7716535433070866	0.7272727272727273	0.6556291390728477	0.0	0.764367816091954	0.7560975609756098	0.6693548387096774	0.6808510638297872	0.6936936936936937	0.6846846846846847	0.7054263565891473	0.7028985507246377	0.73125	0.7551020408163265	0.775	0.9473684210526315	0.7029702970297029	0.6160714285714286	0.6756756756756757	0.696969696969697	0.71875	0.7676056338028169	0.6688311688311688	0.6826923076923077	0.75	0.7566137566137566	0.6460176991150443	0.7109375	0.6742424242424242	0.656	0.6075949367088608	0.7305699481865285	0.6448598130841121	0.826530612244898	0.8523489932885906	0.7071428571428572	0.6633663366336634	0.6962962962962963	0.6785714285714286	0.7735849056603774	0.7951807228915663	0.6551724137931034	0.671875	0.7971014492753623	0.6548672566371682	0.9736842105263158
515rcbc243	0.6823529411764706	0.6802030456852792	0.6521739130434783	0.6574585635359116	0.74	0.7150259067357513	0.9361702127659575	0.7300380228136882	0.7582781456953642	0.6388888888888888	0.4971751412429379	0.764367816091954	0.0	0.665	0.7191011235955056	0.845679012345679	0.6040268456375839	0.7409638554216867	0.6627906976744186	0.6703296703296703	0.6633165829145728	0.6483516483516484	0.6837606837606838	0.9712230215827338	0.7564102564102564	0.6787878787878788	0.6984924623115578	0.6647727272727273	0.7028571428571428	0.6777777777777778	0.66	0.7577639751552795	0.645933014354067	0.37158469945355194	0.6829268292682927	0.7333333333333333	0.6629213483146067	0.7842105263157895	0.7695652173913043	0.6550218340611353	0.5850340136054422	0.7446153846153846	0.7801204819277109	0.6951871657754011	0.7225806451612903	0.7010869565217391	0.8322147651006712	0.3670886075949367	0.852112676056338	0.696969696969697	0.6983240223463687	0.7883597883597884	0.727810650887574	0.9856115107913669
515rcbc254	0.7168674698795181	0.34	0.6357615894039735	0.7526881720430108	0.7725752508361204	0.7189189189189189	0.946969696969697	0.7333333333333333	0.740484429065744	0.7142857142857143	0.671875	0.7560975609756098	0.665	0.0	0.7456647398843931	0.8187919463087249	0.668918918918919	0.7058823529411765	0.6807228915662651	0.7237569060773481	0.5260115606936416	0.4228187919463087	0.4846938775510204	0.9767441860465116	0.7465753424657534	0.6730769230769231	0.7282051282051282	0.7052023121387283	0.6909090909090909	0.6878612716763006	0.702020202020202	0.74	0.4367816091954023	0.6651162790697674	0.710691823899371	0.7383720930232558	0.672514619883041	0.75	0.7465437788018433	0.5789473684210527	0.6506849315068494	0.7670807453416149	0.7987804878048781	0.7197802197802198	0.7103448275862069	0.7333333333333333	0.7925925925925926	0.7135416666666666	0.8484848484848485	0.7068062827225131	0.6941176470588235	0.768361581920904	0.725	0.984375
515rcbc271	0.6299212598425197	0.7037037037037037	0.6083333333333333	0.6503496503496503	0.8201438848920863	0.5547445255474452	0.8888888888888888	0.7377777777777778	0.7781954887218046	0.6458333333333334	0.6583850931677019	0.6693548387096774	0.7191011235955056	0.7456647398843931	0.0	0.6826923076923077	0.6833333333333333	0.6173913043478261	0.6567164179104478	0.5882352941176471	0.7142857142857143	0.7515923566878981	0.7414634146341463	0.9666666666666667	0.6666666666666666	0.6341463414634146	0.5071428571428571	0.6090225563909775	0.6590909090909091	0.7466666666666667	0.6459627329192547	0.6956521739130435	0.7801047120418848	0.7346938775510204	0.628099173553719	0.6201550387596899	0.6376811594202898	0.5968992248062015	0.6836158192090396	0.6836734693877551	0.6610169491525424	0.8106312292358804	0.8398692810457516	0.6142857142857143	0.6422018348623854	0.5789473684210527	0.7346938775510204	0.7393939393939394	0.7849462365591398	0.524822695035461	0.6136363636363636	0.7905405405405406	0.5526315789473685	0.9775280898876404
515rcbc464	0.7087378640776699	0.7928571428571428	0.7010309278350515	0.8396946564885496	0.9045801526717557	0.7829457364341085	0.8431372549019608	0.8373205741626795	0.8862745098039215	0.8333333333333334	0.7931034482758621	0.6808510638297872	0.845679012345679	0.8187919463087249	0.6826923076923077	0.0	0.7419354838709677	0.7446808510638298	0.7477477477477478	0.7723577235772358	0.8095238095238095	0.8257575757575758	0.8142076502732241	0.9166666666666666	0.7590361445783133	0.7040816326530612	0.7076923076923077	0.7796610169491526	0.7857142857142857	0.8333333333333334	0.7876712328767124	0.5068493150684932	0.8433734939759037	0.8626373626373627	0.75	0.8189655172413793	0.7217391304347827	0.5567010309278351	0.7532467532467533	0.8011049723756906	0.7684210526315789	0.906896551724138	0.9059233449477352	0.7857142857142857	0.6790123456790124	0.7768595041322314	0.543859649122807	0.8482758620689655	0.819672131147541	0.7348484848484849	0.6851851851851852	0.85	0.6947368421052632	0.9583333333333334
515rcbc240	0.5740740740740741	0.6619718309859155	0.5151515151515151	0.7279411764705882	0.8634686346863468	0.6716417910447762	0.8888888888888888	0.8	0.803921568627451	0.7037037037037037	0.5899280575539568	0.6936936936936937	0.6040268456375839	0.668918918918919	0.6833333333333333	0.7419354838709677	0.0	0.61	0.5585585585585585	0.706766917293233	0.6197183098591549	0.625	0.7204301075268817	0.9420289855072463	0.6373626373626373	0.5490196078431373	0.722972972972973	0.68	0.6106194690265486	0.6341463414634146	0.7547169811320755	0.6597938144329897	0.6932515337423313	0.6744186046511628	0.6355140186915887	0.7049180327868853	0.5882352941176471	0.6910569105691057	0.7687861271676301	0.7065217391304348	0.4835164835164835	0.8542372881355932	0.8870431893687708	0.7111111111111111	0.5777777777777777	0.689922480620155	0.6666666666666666	0.6376811594202898	0.7083333333333334	0.6853146853146853	0.6302521008403361	0.8045112781954887	0.6936936936936937	0.9710144927536232
515rcbc472	0.6974789915966386	0.7094594594594594	0.616822429906542	0.7205882352941176	0.8513011152416357	0.6838235294117647	0.9054054054054054	0.7731481481481481	0.8185328185328186	0.7153284671532847	0.7207792207792207	0.6846846846846847	0.7409638554216867	0.7058823529411765	0.6173913043478261	0.7446808510638298	0.61	0.0	0.635593220338983	0.6793893129770993	0.7290322580645161	0.6691729323308271	0.7806122448979592	0.9577464788732394	0.4177215189873418	0.6074766355140186	0.6986301369863014	0.703125	0.43564356435643564	0.689922480620155	0.740506329113924	0.7156862745098039	0.7485380116959064	0.7554347826086957	0.41935483870967744	0.6638655462184874	0.6692913385826772	0.7244094488188977	0.7411764705882353	0.7486910994764397	0.6634615384615384	0.8508474576271187	0.8648648648648649	0.7318840579710145	0.6129032258064516	0.671875	0.6875	0.7647058823529411	0.7297297297297297	0.6783216783216783	0.6218487394957983	0.7692307692307693	0.6727272727272727	0.9714285714285714
515rcbc259	0.5333333333333333	0.6582278481012658	0.6260162601626016	0.75	0.8214285714285714	0.7012987012987013	0.9148936170212766	0.7565217391304347	0.7933579335793358	0.7371794871794872	0.6289308176100629	0.7054263565891473	0.6627906976744186	0.6807228915662651	0.6567164179104478	0.7477477477477478	0.5585585585585585	0.635593220338983	0.0	0.7066666666666667	0.6867469879518072	0.6887417218543046	0.6802030456852792	0.9560439560439561	0.7079646017699115	0.6290322580645161	0.6894409937888198	0.7103448275862069	0.6439393939393939	0.48	0.7134502923976608	0.7008547008547008	0.6647727272727273	0.6842105263157895	0.6229508196721312	0.7412587412587412	0.45528455284552843	0.6928571428571428	0.7016574585635359	0.6387434554973822	0.584070796460177	0.8157894736842105	0.8446601941747572	0.7189542483660131	0.6363636363636364	0.7006802721088435	0.7272727272727273	0.7349397590361446	0.7634408602150538	0.6956521739130435	0.4583333333333333	0.8092105263157895	0.6850393700787402	0.978021978021978
515rcbc265	0.6853146853146853	0.7126436781609196	0.6287878787878788	0.4076923076923077	0.8041958041958042	0.45255474452554745	0.9245283018867925	0.7155172413793104	0.7717391304347826	0.3543307086614173	0.6781609195402298	0.7028985507246377	0.6703296703296703	0.7237569060773481	0.5882352941176471	0.7723577235772358	0.706766917293233	0.6793893129770993	0.7066666666666667	0.0	0.6931818181818182	0.7349397590361446	0.7289719626168224	0.9809523809523809	0.7049180327868853	0.6417910447761194	0.5705128205128205	0.5985915492957746	0.6736111111111112	0.7215189873417721	0.5766871165644172	0.7286821705426356	0.7397959183673469	0.69	0.6567164179104478	0.4262295081967213	0.6967741935483871	0.6912751677852349	0.7397959183673469	0.7047619047619048	0.7164179104477612	0.7722772277227723	0.8285714285714286	0.6405228758169934	0.7244094488188977	0.5602836879432624	0.7787610619469026	0.6463414634146342	0.8240740740740741	0.6125	0.695364238410596	0.7784810126582279	0.6230769230769231	0.9805825242718447
